date,open,high,low,close,volume
2023-01-01,300.0,312.6,293.94,305.06,807509
2023-01-02,305.06,305.63,303.03,303.24,1283531
2023-01-03,303.24,320.91,270.39,320.18,2398550
2023-01-04,320.18,332.42,317.08,328.7,1338473
2023-01-05,328.7,333.44,327.23,331.24,1205853
2023-01-06,331.24,337.7,295.51,308.09,2269399
2023-01-07,308.09,330.74,291.69,324.04,1477351
2023-01-08,324.04,324.31,317.52,321.08,718696
2023-01-09,321.08,331.02,307.57,313.82,1232870
2023-01-10,313.82,317.39,309.96,310.21,1431408
2023-01-11,310.21,324.78,300.98,319.08,1601608
2023-01-12,319.08,324.39,278.18,304.74,2107999
2023-01-13,304.74,313.95,301.68,312.54,1236704
2023-01-14,312.54,315.21,311.28,314.15,701728
2023-01-15,314.15,317.26,302.74,308.63,810264
2023-01-16,308.63,339.1,306.92,320.07,2080220
2023-01-17,320.07,320.16,299.04,311.95,1632109
2023-01-18,311.95,328.27,301.83,318.5,1178394
2023-01-19,318.5,335.66,296.56,308.56,1514371
2023-01-20,308.56,309.04,302.52,304.82,1155739
2023-01-21,304.82,329.14,296.69,313.43,928817
2023-01-22,313.43,350.83,290.62,328.42,1403113
2023-01-23,328.42,329.21,327.03,327.67,847269
2023-01-24,327.67,349.93,326.53,345.8,2221485
2023-01-25,345.8,348.04,345.4,346.59,1210283
2023-01-26,346.59,384.59,310.78,321.45,2443574
2023-01-27,321.45,339.44,296.6,311.77,2025128
2023-01-28,311.77,322.13,296.46,305.83,1014798
2023-01-29,305.83,307.82,304.46,306.59,817710
2023-01-30,306.59,319.34,301.86,316.97,1954219
2023-01-31,316.97,320.08,313.85,320.04,1384545
2023-02-01,320.04,323.93,319.39,322.72,1092096
2023-02-02,322.72,325.0,317.46,320.53,1074152
2023-02-03,320.53,333.42,312.17,324.87,1144731
2023-02-04,324.87,337.84,300.54,302.1,1754734
2023-02-05,302.1,302.7,301.45,301.51,662961
2023-02-06,301.51,302.21,296.8,299.12,1383550
2023-02-07,299.12,303.51,295.16,302.07,1322389
2023-02-08,302.07,316.65,291.58,310.37,1632307
2023-02-09,310.37,321.59,298.07,299.9,1899379
2023-02-10,299.9,300.8,276.39,288.91,1856286
2023-02-11,288.91,289.11,276.53,282.73,890076
2023-02-12,282.73,298.06,263.39,271.63,1467661
2023-02-13,271.63,277.21,268.66,275.99,1116748
2023-02-14,275.99,296.92,267.32,283.8,1584302
2023-02-15,283.8,290.02,268.65,270.94,2209094
2023-02-16,270.94,274.75,269.36,273.2,1272602
2023-02-17,273.2,294.29,260.05,280.62,1715641
2023-02-18,280.62,282.93,260.95,273.47,1101719
2023-02-19,273.47,275.52,273.06,275.48,855576
2023-02-20,275.48,319.05,267.31,293.71,2520544
2023-02-21,293.71,300.7,290.64,298.43,1451421
2023-02-22,298.43,322.14,287.0,308.48,1401615
2023-02-23,308.48,315.94,306.21,312.75,1146411
2023-02-24,312.75,314.86,310.09,311.57,1202342
2023-02-25,311.57,318.66,307.52,315.09,1026447
2023-02-26,315.09,325.76,314.76,321.87,1271523
2023-02-27,321.87,325.5,292.94,311.62,2321296
2023-02-28,311.62,311.7,303.61,308.8,1376364
2023-03-01,308.8,317.64,303.02,311.79,1362689
2023-03-02,311.79,336.47,288.54,297.3,1674580
2023-03-03,297.3,320.65,239.84,276.33,2599716
2023-03-04,276.33,292.58,238.2,263.12,1172307
2023-03-05,263.12,265.97,255.58,260.36,928048
2023-03-06,260.36,270.75,256.85,266.35,1640438
2023-03-07,266.35,281.87,256.22,272.19,1676555
2023-03-08,272.19,273.99,271.29,272.88,1135727
2023-03-09,272.88,366.19,213.28,306.37,3230142
2023-03-10,306.37,321.89,292.02,292.94,1850612
2023-03-11,292.94,300.74,281.74,285.76,1081265
2023-03-12,285.76,288.15,266.81,276.33,1287330
2023-03-13,276.33,285.57,268.34,282.74,1221216
2023-03-14,282.74,287.13,273.58,278.68,1403597
2023-03-15,278.68,300.14,256.78,267.68,1662449
2023-03-16,267.68,277.04,255.42,257.02,1455405
2023-03-17,257.02,268.17,250.71,260.8,1395168
2023-03-18,260.8,265.63,238.09,245.36,1559055
2023-03-19,245.36,255.19,229.65,238.48,996411
2023-03-20,238.48,265.7,231.34,252.88,2080750
2023-03-21,252.88,266.52,252.73,258.23,1204785
2023-03-22,258.23,258.24,258.23,258.23,997094
2023-03-23,258.23,264.24,257.16,261.3,1204986
2023-03-24,261.3,287.27,260.28,272.47,1762281
2023-03-25,272.47,295.49,236.83,254.08,2255198
