date,open,high,low,close,volume
2023-01-01,300.0,409.65,284.81,332.09,48068706
2023-02-01,332.09,348.38,225.63,249.36,41307190
2023-03-01,249.36,276.38,181.84,193.99,48549970
2023-04-01,193.99,210.41,144.89,175.2,42662876
2023-05-01,175.2,186.99,132.03,180.81,43627192
2023-06-01,180.81,276.82,152.22,271.21,42598001
2023-07-01,271.21,343.27,256.19,294.45,42625414
2023-08-01,294.45,494.34,283.56,412.44,50106658
2023-09-01,412.44,427.22,258.57,266.39,46789061
2023-10-01,266.39,279.97,138.4,146.38,48288648
2023-11-01,146.38,157.22,80.81,95.44,46853409
2023-12-01,95.44,167.42,94.49,164.87,44930308
2024-01-01,164.87,193.82,139.72,162.54,40855050
2024-02-01,162.54,234.61,154.39,228.24,43570910
2024-03-01,228.24,598.07,207.93,569.33,47095153
2024-04-01,569.33,672.29,512.44,612.64,41277120
2024-05-01,612.64,672.7,542.05,633.6,42008451
2024-06-01,633.6,1280.64,595.63,1247.28,43339006
2024-07-01,1247.28,1395.91,1082.32,1321.43,44790692
2024-08-01,1321.43,1498.27,996.37,1320.82,50356699
2024-09-01,1320.82,2968.95,1279.77,2889.33,48121961
2024-10-01,2889.33,3273.29,2545.56,2883.23,43139777
2024-11-01,2883.23,3291.38,2404.77,2709.03,40950440
2024-12-01,2709.03,5066.61,2662.2,4374.26,43499346
2025-01-01,4374.26,5359.85,3456.79,4324.84,47303841
2025-02-01,4324.84,5165.35,3521.62,4129.04,47218503
2025-03-01,4129.04,4646.15,2124.47,2671.72,52574802
2025-04-01,2671.72,3338.23,2211.9,2928.35,43358873
2025-05-01,2928.35,3144.92,2154.64,2486.28,45273602
2025-06-01,2486.28,3628.43,2418.2,3208.34,43166552
2025-07-01,3208.34,4468.31,2425.62,2649.42,51000014
2025-08-01,2649.42,3194.73,2213.32,2844.88,36277929
