date,open,high,low,close,volume
2023-01-01,300.0,338.14,271.11,295.56,9304104
2023-01-08,295.56,344.9,284.17,319.84,9823682
2023-01-15,319.84,339.41,283.61,322.21,10233549
2023-01-22,322.21,339.89,284.18,291.05,12013722
2023-01-29,291.05,316.23,237.47,252.33,11127677
2023-02-05,252.33,272.8,221.86,256.21,10948175
2023-02-12,256.21,283.03,200.79,213.07,11706374
2023-02-19,213.07,277.2,200.88,247.31,11977129
2023-02-26,247.31,263.49,206.13,218.25,10378783
2023-03-05,218.25,243.97,149.85,165.66,11082879
2023-03-12,165.66,178.12,140.51,142.81,10029075
2023-03-19,142.81,160.08,117.26,128.34,11404865
2023-03-26,128.34,133.44,100.23,102.56,12107518
2023-04-02,102.56,112.42,97.76,106.5,10125072
2023-04-09,106.5,124.05,96.65,107.72,9761219
2023-04-16,107.72,119.01,106.8,117.21,8848512
2023-04-23,117.21,138.55,111.41,128.85,12160247
2023-04-30,128.85,154.58,115.62,145.77,11531214
2023-05-07,145.77,190.46,136.66,185.52,11004264
2023-05-14,185.52,213.78,168.73,174.03,11396836
2023-05-21,174.03,181.19,147.88,166.57,11090887
2023-05-28,166.57,177.86,136.99,153.46,10627220
2023-06-04,153.46,179.35,148.99,163.58,8553826
2023-06-11,163.58,164.7,131.07,138.27,9415776
2023-06-18,138.27,179.39,125.66,172.24,10421178
2023-06-25,172.24,187.1,162.9,174.64,10144081
2023-07-02,174.64,201.36,141.56,157.04,11119593
2023-07-09,157.04,168.17,143.95,153.31,9091217
2023-07-16,153.31,162.21,133.04,152.45,9488522
2023-07-23,152.45,157.75,108.92,117.88,13295881
2023-07-30,117.88,157.47,114.25,148.86,12138720
2023-08-06,148.86,150.94,111.73,115.15,11552747
2023-08-13,115.15,117.74,98.89,113.76,10652950
2023-08-20,113.76,127.33,108.54,117.5,9437495
2023-08-27,117.5,127.56,109.78,121.67,8359888
2023-09-03,121.67,131.05,105.2,116.33,10703026
2023-09-10,116.33,136.49,100.79,111.88,11113454
2023-09-17,111.88,128.47,100.56,118.61,11117036
2023-09-24,118.61,128.15,105.83,114.27,12568473
2023-10-01,114.27,126.16,106.65,112.19,9015903
2023-10-08,112.19,121.33,81.56,96.14,11402849
2023-10-15,96.14,110.45,82.79,89.4,9980687
2023-10-22,89.4,104.29,81.4,98.88,11352312
2023-10-29,98.88,99.98,93.37,94.23,8840202
2023-11-05,94.23,95.49,75.19,77.73,9672020
2023-11-12,77.73,81.01,67.28,75.3,9003141
2023-11-19,75.3,80.49,72.44,77.23,9266413
2023-11-26,77.23,85.32,61.18,71.91,13497365
2023-12-03,71.91,84.41,66.35,82.24,10248431
2023-12-10,82.24,95.55,76.14,80.82,12517238
2023-12-17,80.82,87.82,74.96,79.67,10388010
2023-12-24,79.67,93.05,75.24,88.14,12059247
2024-01-01,86.66,99.34,85.06,88.46,9846891
2024-01-08,88.46,93.15,82.64,89.05,7543765
2024-01-15,89.05,95.28,74.99,81.72,9884732
2024-01-22,81.72,86.22,75.15,77.32,9504222
2024-01-29,77.32,80.76,68.58,73.16,11005215
2024-02-05,73.16,80.35,65.18,68.69,9828083
2024-02-12,68.69,73.32,48.41,55.06,11050409
2024-02-19,55.06,62.23,50.81,57.01,10110538
2024-02-26,57.01,67.21,52.17,63.71,11541066
2024-03-04,63.71,97.88,59.79,86.93,11947508
2024-03-11,86.93,114.3,85.04,113.39,10175961
2024-03-18,113.39,139.92,108.66,138.3,10018934
2024-03-25,138.3,174.09,133.86,155.33,14419779
2024-04-01,155.33,169.38,136.54,143.95,8317859
2024-04-08,143.95,155.45,128.75,138.89,9162144
2024-04-15,138.89,140.86,128.87,137.94,8377236
2024-04-22,137.94,158.74,131.81,152.4,11352983
2024-04-29,152.4,157.99,142.1,147.24,8329508
2024-05-06,147.24,168.96,139.91,167.91,10264804
2024-05-13,167.91,178.76,159.94,167.54,9491406
2024-05-20,167.54,181.41,153.1,158.98,9905994
2024-05-27,158.98,172.62,140.51,170.98,10594337
2024-06-03,170.98,187.75,168.29,185.66,8121751
2024-06-10,185.66,261.45,178.98,241.5,11264979
2024-06-17,241.5,316.73,231.33,303.45,10930688
2024-06-24,303.45,400.82,294.14,359.6,12819924
2024-07-01,359.6,382.78,326.07,356.5,9516976
2024-07-08,356.5,393.01,318.66,343.88,7593109
2024-07-15,343.88,394.88,314.13,373.77,9163340
2024-07-22,373.77,463.92,333.63,422.39,10707852
2024-07-29,422.39,464.63,376.03,403.69,10904751
2024-08-05,403.69,470.84,400.04,460.35,8797115
2024-08-12,460.35,513.43,426.5,465.26,10188233
2024-08-19,465.26,571.28,406.96,517.31,13070657
2024-08-26,517.31,560.35,466.14,490.96,13693853
2024-09-02,490.96,529.19,431.02,504.53,8289277
2024-09-09,504.53,551.8,475.73,529.1,8765474
2024-09-16,529.1,629.63,494.2,581.82,10551308
2024-09-23,581.82,650.57,531.57,613.36,10733492
2024-09-30,613.36,662.11,489.63,507.78,10642287
2024-10-07,507.78,542.58,462.63,474.53,9443497
2024-10-14,474.53,500.4,422.73,438.94,8619340
2024-10-21,438.94,473.63,374.85,411.5,9527484
2024-10-28,411.5,436.7,384.06,394.59,10092758
2024-11-04,394.59,440.79,384.41,415.43,8568271
2024-11-11,415.43,430.96,356.81,384.47,8601696
2024-11-18,384.47,446.74,363.52,427.67,8680065
2024-11-25,427.67,515.69,415.63,472.08,10501361
2024-12-02,472.08,615.05,459.12,563.34,9131413
2024-12-09,563.34,638.63,540.87,589.16,8868410
2024-12-16,589.16,768.75,570.43,701.37,10700219
2024-12-23,701.37,846.37,644.98,789.01,10944407
2025-01-01,841.63,983.9,735.36,786.87,10404685
2025-01-08,786.87,845.2,728.69,830.98,9708066
2025-01-15,830.98,915.01,729.85,781.56,10584362
2025-01-22,781.56,834.55,633.95,771.78,11305745
2025-01-29,771.78,944.05,607.77,778.97,13654781
2025-02-05,778.97,913.99,718.58,760.63,9547979
2025-02-12,760.63,785.55,588.97,615.31,10198402
2025-02-19,615.31,663.9,476.99,533.46,11641186
